Text,emotion
This group of strangers,Neutral
has agreed to be abandonedin the Fijian islands.,Neutral
They come fromdifferent backgrounds...,Neutral
I was born three months earlywith mild cerebral palsy.,Neutral
"The doctor said,""You know, he's not gonna walk.",Sadness
"He's gonna be in a wheelchair.""",Sadness
...cultures...,Neutral
Growing up in Nigeriawas like Survivor.,Fear
"You know, it was likesurvival of the fittest.",Neutral
...and experiences.,Neutral
I played Division I lacrosse.,Neutral
I was in a moped accidentthat caused me,fear
to lose my left legabove the knee.,Sadness
And then I became a Paralympian.,Happiness
And I hold the United Statesrecord for the 100-meter.,Happiness
"But despite their differences,",neutral
they must rely on each otherin order to survive.,Fear
My biggest asset as a teacheris being able to connect.,Happiness
"I always hear people geton this show, and they say,",neutral
"""I'm not hereto make any friends.""",Anger
"And I'm like, ""Well, I am.""",Neutral
Be my friend.,Neutral
Let's have an authenticand genuine connection and bond.,Happiness
"That way, when I get to the end,you can vote me the million.",Neutral
And then we can go outfor pizza and coffee afterwards.,Happiness
"Being 19 and as young as I am,I am way more than just my age.",Neutral
I'm actually attending BrighamYoung University right now.,Neutral
"So, I'm, like,a student, pet cremator,",Neutral
business owner hybrid.I'm all this.,Neutral
"I'm all these things.Like, look at me.",Neutral
"I think I'm justa fun and ""energible""--",happiness
"I don't know if that's a word--""energible"" person.",Neutral
And I don't think I caterto one specific group.,Neutral
I can cater to anybody.,Neutral
I am unapologeticallySurvivor's biggest fan.,happiness
"I mean, I've loved Survivor",happiness
"longer than I've knownmy husband,",Neutral
"my kids, my nursing career.",Neutral
I've spent the last 22 yearsimagining this moment.,happiness
It's finally here.I get one shot at it.,Fear
What am I gonna do with it?,Neutral
"Growing upin a tough environment,",Neutral
I'm a very adaptableand a very resilient person.,happiness
That's how I've gottento where I am today in life.,Happiness
"When I've been tired,when I've been beaten down,",Sadness
"when I've been told no,that's my time to shine",Happiness
and kick ass.,Neutral
I'm gonna play the gameas hard and as fast as I can--,Happiness
just like I do my life.,Neutral
Just like the way I surf.,Neutral
Just like the wayI go out on a weekend.,Happiness
"And I'll be honest with you,I've already spent part of it.",Neutral
"So I really need,I really need the million bucks.",Neutral
They'll form a new society,Neutral
where they decide the rules,Neutral
of how thismillion-dollar game is played.,Neutral
I'm not gonnasit around and wait,Anger
for other peopleto determine my game.,Neutral
I make my fate. I make my game.,Neutral
It's up to themwho stays and who goes.,Neutral
One thing I do as a psychologist,Neutral
is get people to do thingsthat they don't want to do.,Neutral
They'll figure it out oncetheir torch is getting snuffed.,Neutral
Each player must learn,Neutral
"to adapt to their new society,",Neutral
or they'll be voted out.,Neutral
I want the game to be chaotic.,Neutral
I want no one to knowwhat's going on.,Fear
"For me, that's my comfort zone.",Happiness
"In the end,only one will remain",Neutral
to claimthe million-dollar prize.,Happiness
I want this so bad.,Neutral
I used to daydreamabout seeing my name up,neutral
in the opening credits.,neutral
I'm buckled upand I'm ready for the ride.,Happiness
Let's do this.,Happiness
Who will have what it takes,Neutral
"to outwit, outplayand outlast all the rest?",Neutral
This is Survivor 43.,Neutral
Come on up.,Neutral
"When you pull upand you see Jeff standing there,",neutral
it's just the most surrealthing that you can imagine.,Surprise
I honestly felt like,neutral
kind of out-of-body experience.,Neutral
"And I'm like,""Whoa. Shoot. I'm here.""",Surprise
"Like, I am a part of it, and",neutral
it's intense.,Neutral
All right.,Neutral
- Welcome to Survivor 43.,Neutral
It's here.,Neutral
- Oh!- Yes.,Surprise
I can feel the energy.,Neutral
Woman in the front rightin the yellow dress.,Neutral
- Yeah.-♪ Hi!♪,Happiness
- What's your name?- My name is Jeanine.,Neutral
"Okay, explain that reaction,that ♪ Hi!♪",Happiness
"-'Cause, you... It's...- Yeah. Sorry.",Neutral
"This has been...Honestly, I just...",neutral
"I can't even believe I'm here,",surprise
and this has been a dreamfor not only my lifetime,happiness
"but my father's,and so it's-it's just",neutral
"a dreamof two lifetimes, really.",Happiness
What's the connectionwith your dad and Survivor?,Neutral
This was his firstfavorite American TV show,Happiness
"when he immigratedfrom China, so,",Neutral
"he used to be a sweet potatofarmer back in China,",neutral
and to now bea biology professor,Neutral
- with his PhD here...- Wow.,Surprise
and having a daughter beon the show,Neutral
is just beyond allof our wildest dreams.,Surprise
"Guy in the back, in theblue shirt-- what's your name?",Neutral
"- Oh, James.- James, how about you?",Neutral
When'd you find Survivor?,Neutral
When Richard Hatchwas sitting on the tree.,Neutral
- Day one.- Day one.,Neutral
"I remember Earl winning,",Neutral
"uh, his season.",Neutral
"For me, it was just goodto see that...",Happiness
"You know, I'm from Philadelphia,and to see somebody that",neutral
"looked like me, similarbackground, go to an island,",Neutral
"live on dirt, and come outand win a million dollars--",happiness
"it just got me excitedabout the game,",happiness
"and I've kind of beenwatching ever since, so...",Neutral
Guy in the back rightwith the beanie?,Neutral
"- Yes, sir.- What's your name?",Neutral
- Gabler. Mike Gabler.- Gabler.,Neutral
When did you discover Survivor?,Neutral
"Jeff, I've been watchingsince the very beginning",Neutral
when our childrenwere still being created.,Neutral
"And my wife, basically,when they hatched--",Neutral
"we-we started watching as afamily like everybody else did,",Neutral
and we make it a Survivor nightevery week.,Happiness
- I'm proud to be here.- Glad to have you here.,happiness
Woman in the middle--what's your name?,Neutral
"- Noelle.- Noelle,",neutral
when did you firststart watching Survivor?,Neutral
I first startedwatching Survivor,Neutral
probablywhen I was about ten years old.,Neutral
"My mom loved this show,but she said",neutral
she could never play it.,Sadness
"So I said, ""You know what?",Neutral
"I'll applyand I'll play for both of us.""",Neutral
"And then I lost my leg, Jeff.",Sadness
"- And then, hey.- You lost it after you applied?",Neutral
"Yeah, I lost my legwhen I was 19 years old,",sadness
and losing my leg isthe best thing,surprise
"that's ever happenedto me, you know?",Neutral
It made me realizethe importance in life.,Happiness
Having somethinglike this happen to you--,Neutral
"it just really made me think,""You know what?",neutral
"This is... it's just a leg.""",Neutral
And I don't want to look backand regret my life.,Sadness
I want to look backand be proud of it.,Happiness
And the beautiful game of Survivor and how it has evolved,Happiness
is the reason whyI even wanted to keep showing up,Neutral
"and keep applying and tryto get on the show, because",neutral
it's almost acceptedand encouraged to be different.,Happiness
And I'm just grateful to be hereand to be able to prove myself,happiness
and showthat amputees are badasses.,Neutral
"You know, I got a fewleg jokes along the way,",Happiness
- so I hope I can tell you guys.,Neutral
"All right, so I've heard a lot.",Neutral
Let me see if I can encapsulatewhat we've just talked about.,Neutral
Survivor is a lot of things.,Neutral
"First and foremost, it's a game.",Neutral
"It's a great game,and one of the things",happiness
"that makes it so great is,anybody can play",happiness
because there reallyaren't many rules.,Neutral
You form a communitywith a bunch of strangers,Neutral
where you decidehow that society will function.,Neutral
You decidehow the game will be played--,Neutral
"slow, fast, safe, dangerous.",Neutral
You are forced to relyon each other,Fear
to live in a jungleon an island,Neutral
while simultaneously votingeach other off the island,Neutral
in pursuit of a million dollars.,Neutral
Pretty tremendous. But Survivor is also an adventure.,Happiness
"All of you got up off the couch,",Neutral
appliedbecause you want that adventure.,Happiness
"You want to leave that normallife behind for a moment,",neutral
fly across the worldto be tested,Fear
in ways you can't imagine.,Neutral
"It's terrifying,",fear
and yet you're all smiling.,Happiness
- Because it's also exhilarating.,Happiness
So if you can just let go,Neutral
of expectation and insteadgive yourself permission,Neutral
"to play,you can change your life.",Happiness
"You can changehow you see yourself,",Neutral
"you can change how you seethe world, you can change",neutral
"how others see you, becausebeing here takes courage.",Neutral
I'm glad each of you are here.,happiness
"I hope Survivor gives youwhat you seek,",Neutral
and I also hopeyou'll stay open,Neutral
to receivingwhat Survivor thinks you need.,Neutral
Shall we get into it?,Neutral
All right.,Neutral
"Tribe names.Wearing red, you are Vesi.",Neutral
- Yeah.,Neutral
"In the middle, in yellow-- Baka.",Neutral
- Baka!,Anger
"And on the end, in blue-- Coco.",Neutral
"All right, I'm gonna give theten points to yellow. I think",neutral
- that was the most tribe spirit.,Neutral
"All right, you ready to getto your first reward challenge?",Happiness
- Wow.- Here we go.,Surprise
"Two players are goingto race down the beach,",Neutral
retrieve and bring back...two heavy wooden crates.,Neutral
"Then two other players are goingto run out into the water,",Neutral
haul a boat backcarrying more crates.,Neutral
"Once you getall the crates here,",Neutral
the two remaining players willuse those crates to form a cube.,Neutral
"Then one player willhop up on top,",Neutral
use a bamboo poleto retrieve a flint.,Neutral
First tribe to get their flint,Neutral
earns their camp supplies.,Neutral
It's not much.,Neutral
"A pot, a machete and the flint.",Neutral
"- No food, no help.",Sadness
You're gonna earn itevery single day out here.,Neutral
Two losing tribes--you will have to go to your camp,Neutral
and try again to earn itin another way. Big setback.,Sadness
You're not building shelter.,Anger
You're just tryingto get your tribe supplies.,Neutral
"All right, I'm gonna give youjust a moment",Neutral
to figure outwho's going to do what.,Neutral
"Okay. All right, guys, come in.",Neutral
"- Get in here.- All right, so who's running...?",Neutral
You want to run?Me and you are running?,Surprise
"- All right, six.Let's go.",Neutral
"Runners, come out here.Here's our line right here.",Neutral
This is official. Behind this.,Neutral
Baka!,Anger
"- Go, Vesi.- Here we go, Vesi.",Neutral
"Let's go, Baka!",Anger
Here we go. First rewardchallenge of Survivor 43.,Happiness
Yes.,Neutral
Survivors ready?,Neutral
Go!,Neutral
- You got to raceinto the jungle.,Fear
Get two heavy wooden crates.,Neutral
"- Yeah, Vesi!",Happiness
Doesn't matterhow you get 'em back.,Neutral
"You can help each other,you can take your own.",Neutral
You guys got this!,Happiness
"- Yes, Baka!",Anger
- Let's go!- Who will emerge first?,Neutral
"Vesi, Baka or Coco?",Neutral
- Wow.,Surprise
That's Sami back for Baka.,Neutral
"Right behind, here comes Ryan,here comes Cody.",Neutral
- There's Jesse,Neutral
"- carrying one.- Way to go, Jesse!",Happiness
Geo struggling with his crate.,Sadness
"- Awesome! Good job, Sami!- Yes! Yes!",happiness
Got to get 'em both back.,Neutral
There's Owen with the second.Takes a fall.,Neutral
Here comes Jesse.These are heavy.,Neutral
"Ryan now heading back to helpGeo, who's moving very slowly.",Neutral
"You've got it, Owen!",Happiness
You're good.,Happiness
You're good.,Happiness
It is Baka in the water.,Neutral
Vesi now in the water.,Neutral
"- Let's go, Ryan!- Here comes Ryan",Neutral
"with the second Coco crate.Keep digging, Geo.",Neutral
You're good! Let's go!,Happiness
You got to get both peopleto the boat.,Neutral
You've got to unclip and thenpull your boat back to shore.,Neutral
We've got Bakastill in the lead.,Neutral
Elie and Gabler pushing hard.,Neutral
"Let's go, Baka!",Anger
Here comes Vesi.,Neutral
Got Justine and Noelle.Noelle at the back.,Neutral
"- Okay. Here we, here we go.- Once you get it here,",Neutral
"- you got to clip it in.- Go, Coco!",Happiness
"- Come on, girls!",Neutral
There's Karlaand Cassidy for Coco.,Neutral
Vesi now in the lead.You're good.,Happiness
- Let's go then.,Neutral
"Cassidy, let's go!",Neutral
You're good!,Happiness
"Yo, you got this. Let's move it!",Happiness
"Cassidy and Karla,you got to keep digging.",Neutral
"All right, Coco, you're good!",Happiness
"- Coco, go!- Let's go, baby.",Happiness
Got Nneka and Dwighton the puzzle for Vesi.,Neutral
You've got Jeanine and Morriahon the puzzle for Baka.,Neutral
"You're good, Coco.Start working on that cube.",Neutral
It's goingto be Lindsay and James.,Neutral
You're using all ofthese crates to solve the cube.,Neutral
"You are playing for a pot,a machete and a flint,",Neutral
"which doesn't sound like much,but out here it is everything.",Neutral
"- Oh, no, there, there!- There! There! Put that one!",Surprise
No. Here to there.,Neutral
James and Lindsaynow with some excitement.,happiness
They thinkthey might have something.,Neutral
"Let's go, baby.Let's go, baby!",Happiness
James and Lindsay--they've got it.,Happiness
- Help her! Help her!- Help her up! Help her up!,Fear
"All right, you guys, come on.",Neutral
"- We got this, y'all.- Coco has it.",Neutral
- Come on! Come on!- Lindsay is up now.,Happiness
"- Let's go, Lindsay.- A little bit higher.You got this.",Neutral
Take your time. Take your time.,Neutral
You got time. You got time.,Neutral
It's Lindsaywith the bamboo pole,Neutral
trying to retrieve the flint.,Neutral
Vesi and Baka still workingto solve the cube.,Neutral
It would be an early victoryfor the tribe,Happiness
that was in dead last,Sadness
with a big comeback,Happiness
if Lindsay canclose it out here.,Neutral
Can she get that ring?,Neutral
Take your time! Take your time!,Neutral
"We're in the lead.Don't rush it, baby.",Happiness
"- Come on. Hop up,hop up, hop up.- Vesi has it.",Neutral
Now they're back in it.,Neutral
Now it's Dwight for Vesi.We've got two tribes in it.,Neutral
- Come on!- You got this.,Happiness
Dwight sees the opportunity.,Neutral
"- Okay, good job.- Dwight.",Happiness
"- Dwight.- You got this, Lindsay.You got this.",Happiness
"He's got it good,smooth, and it drops.",Happiness
Here goes Lindsay.She's got it halfway.,Neutral
- No!- Lindsay drops again.,Fear
Look at that.Baka's back in it.,Neutral
All three tribes are in it now.,Neutral
"- Come on, baby. You got it!-Once again why you never, ever",Neutral
give up on yourselfin this game.,Sadness
"Hey, hey, Dwight.",Neutral
Try to put the flintright in the pole,Neutral
on the top of the bamboo.,Neutral
Go from underneathand put the flint inside of it.,Neutral
I got that.,Neutral
"Yeah, there's a holeinside there.",Neutral
Put the flint in there.,Neutral
"That's the one, baby.",Happiness
There goes Dwight.,Neutral
- Does he have it?- That's the one.,Neutral
- That's the one.- Yes!,Happiness
"- He does!- Yeah, baby!",Happiness
Vesi wins first reward!,Happiness
Tribe supplies waitingback at camp.,Neutral
Wow. What an opening challenge.,Surprise
Everybody left it outin the sand.,Neutral
He put the flintin the bamboo stick.,Neutral
- It's all right.- It...,neutral
All right. Great effortby all three tribes.,happiness
Let me give you mapsto new homes.,Neutral
- Welcome to Survivor.- Yeah!,Happiness
"- Yeah.- Go, Coco!",Happiness
"All right, Vesi, great job.",happiness
Your tribe supplies willbe waiting for you back at camp.,Neutral
"Like I said, it's not much,but it's a lot in this game.",Neutral
"One pot, one machete, one flint.",Neutral
"Baka, Coco, you're goingto go to your new camp",Neutral
"and have to try to earn itin another way,",Neutral
which will take time awayfrom building shelter.,Fear
That's the penalty for losing.,Neutral
"- Vesi, head out to your boat.",Neutral
- Good luck.- All right.,Neutral
"Baka, Coco, head out.",Neutral
"- Thank you, Jeff.- Thank you, Jeff.",Happiness
"Out of the gates, to fail",Sadness
at something that I thoughtI would be so good at,Neutral
is a huge wake-up call to me.,Surprise
"And it made me realizethat, like,",Neutral
being out hereand the challenges,Neutral
that we're about to faceare going to be a hell,Fear
of a lot harderthan I thought they would be.,Sadness
And it has definitely set inthat we need to be ready,Fear
for anything that Jeff'sabout to put out there.,Neutral
Yay.,Happiness
- Yes. This is home.- This is home.,Happiness
"Winning the first challengesets a tone,",happiness
"from an excitement level,from a camaraderie level.",happiness
I feel alive from my-my...my toes to my bones,Happiness
to my heart to my spirit.,Neutral
Vesi.,Neutral
- Yee-hoo! Yeah!,Happiness
"Hell, yeah!We got a machete, a pot.",Happiness
We're ready to rock.,happiness
"During the pandemic, I startedbinge-watching Survivor,",neutral
and I realizedthat I have the tools,neutral
to... not only to competebut... but to win Survivor.,Happiness
"You guys wants to, uh, chatand talk story for a second?",Neutral
See what everybody does.Maybe we got someone in here,Neutral
that does constructionor knows how to build a shelter.,Neutral
"- Right? Okay, okay, okay.Good play.- Not me.",Neutral
I am so blessed to just getout there and do some living.,happiness
"L-I-V-I-N. You know, get busyliving and get busy dying.",Neutral
That's how I'm goingto play this game.,Neutral
"So I'm... I'm locked and loaded,ready to go full throttle,",Happiness
ride a wheelieall the way across the park.,Happiness
"Uh, my name's Cody. I'm 35,",neutral
and I work for an elevatorand escalator company.,Neutral
My name is Nneka.Nneka's a Nigerian name.,Neutral
- That's whereI'm from originally.- Amazing.,Surprise
I think it's a name you give,Neutral
when you want a boyand get a girl.,disgust
