Text,emotion
♪ ♪,neutral
Okay.,neutral
Tribal Council was chaotic.,surprise
"Kane, the tribe has spoken.",surprise
"FRANNIE: In this game,
it's been Ratu against Soka,",neutral
"with Tika
floating in the middle.",neutral
"And they didn't loop me in
on a plan to vote out Kane.",anger
"- How you doing, Frannie?
- I don't know. I'm just...",neutral
"I'm just frustrated 'cause
I-I would have voted for Kane.",anger
"So I don't understand
why nobody wanted to tell me.",surprise
"I realized
that every single person",neutral
on the beach lied to me.,anger
"So, as of right now,",neutral
"it sort of seems like
I have no one on my side.",sadness
"CAROLYN: So nobody
stuck with the plan, or what?",anger
I didn't know the actual plan.,surprise
"I'm very confused because
I was left out of the vote",sadness
"and I feel like our Ratu numbers
are starting to dwindle.",sadness
"It's only me and Jaime left,",neutral
"and now my extra vote's gone,",sadness
"but it seems like
it was just used for no reason.",disgust
"So I could be next
or Jaime could be next.",neutral
"Apparently, everybody
didn't know every plan.",surprise
"CARSON: Everyone was saying
this was such a chaotic Tribal,",surprise
"and, like,
no one really knew the plan.",confusion
I knew the plan. [Laughs],surprise
"I do want
to tell you something, Jaime,",neutral
"but it's, like,
more of a private thing.",neutral
"- JAIME: Yeah, we can talk.
- Okay.",neutral
"I focused my game
upon relationships,",neutral
"and so it's
really important for me",neutral
to focus on damage control.,neutral
"I was wanting to work with Kane,",neutral
"but I wasn't really sure
where his loyalty lies.",neutral
Okay.,neutral
"- But, like...
- That makes me not trust him.",disgust
"CARSON:
And I explained to Jaime,",neutral
"Kane had been telling everybody
that she had an idol.",neutral
"In reality, I had told
everybody that she had an idol,",neutral
"but Kane's gone,
so I can say whatever I want.",neutral
"I love being able
to make up lies about people",disgust
"who aren't in this game
who can defend themselves.",neutral
It's wonderful.,happiness
"I didn't know
how close you were.",surprise
"- Especially if that was true.
- Yeah.",neutral
"No, I'm really grateful
that you told me.",happiness
"- I appreciate that.
- I won't tell anybody else.","- neutral
- neutral"
JAMIE: Tonight at.,neutral
"Tribal Council,
my number-one ally,",neutral
"Kane, was voted out
with my idol.",sadness
"It's the worst thing
that could happen inSurvivor.",sadness
"It's like, ""No! Come back!""",surprise
"Like, we'll definitely
talk to tomorrow.",happiness
"I just wanted to,
like, give you some",neutral
"- peace of mind...
- Yes.",neutral
"Right now,
it's kind of a tricky situation,",neutral
"because I didn't tell
anybody that I gave Kane",neutral
"the idol to protect it
from Knowledge Is Power,",neutral
"but people are still suspicious
that I might have the idol.",fear
"So, to combat that,",neutral
I either need to come clean,fear
or find a new idol.,neutral
♪ ♪,neutral
Come on in.,neutral
♪ ♪,neutral
Good morning.,neutral
ALL: Good morning.,neutral
[exhales sharply],neutral
"All right, shall we get
to today's reward challenge?",neutral
ALL: Yes.,neutral
"PROBST For today's challenge,",neutral
"you're gonna
spin inside a metal frame,",fear
"slowly winding
the buoy across a line.",neutral
"You'll then make your way
over a series of obstacles,",neutral
"grabbing
two balls along the way.",neutral
"You'll then race to land
those balls on a tall ledge.",neutral
"First person
to finish wins reward.",surprise
"- Want to know what you're playing for?
- Yes.",surprise
"- The winner will be taken to the sanctuary.
- [Jaime gasps]",surprise
Where good things happen.,happiness
Yes.,neutral
PROBST: You'll enjoy tacos.,happiness
[all cheering],happiness
"- Tacos!
- PROBST: Apple empanadas.",surprise
"Oh, my God.",surprise
"PROBST: Cold beer, margaritas.",neutral
Oh!,surprise
"Virgin margaritas
if anybody's under 21.",neutral
"- [laughter]
- Worth playing for?","- neutral
- neutral"
"- Yes!
- PROBST: All right. I like it.",happiness
"- Day 18, we'll draw for spots.
- [excited chatter]",surprise
We'll get started. Here we go.,Neutral
All right. For reward.,happiness
Survivors ready?,surprise
"Go! First
you got to spin yourself.",neutral
"Pulling that buoy
across this line.",neutral
"That's how you do it.
Frannie is whipping through it.",happiness
Heidi looking good.,happiness
"Danny's got momentum.
Lauren trying to get some.",neutral
"- [laughs]
- PROBST: The faster you go,",neutral
"the faster
that buoy will get here,",neutral
"and you can
take off to the next stage.",neutral
"Jaime taking her time like she's
enjoying a Sunday at the park.",neutral
[laughs],happiness
"- Frannie, you're good. Danny, you're good.
- [Frannie whoops]",happiness
Holy mother of... [exhales],surprise
"PROBST:
Frannie and Danny both, dizzy.",surprise
"You wouldn't know it
watching Danny.",neutral
[laughs],happiness
[exclaiming],surprise
"PROBST: Now you got to get over
that beam while you're still dizzy.",surprise
"You're good, Heidi.",happiness
"Carolyn, you're good.",happiness
"Oh, my God.",surprise
[screams],fear
"Oh, my God.",surprise
"- PROBST: You're good, Jaime.
- [screams]",surprise
"You're good, Lauren.",happiness
"Wow. Oh, my God.",surprise
"[laughing]: Oh, my God.",surprise
[screams],fear
"PROBST: You're good, Carson.",neutral
"LAUREN: [laughing]: Oh, my God.",surprise
"PROBST: Yam Yam.
Slow motion. You're good.",neutral
I can't even find it.,neutral
PROBST: Everybody dizzy.,surprise
You can get across the beam,neutral
"any way you want, but you can't
touch. You got to go back.",sadness
"Frannie has to go back.
She's got her first ball.",happiness
"Danny has his first ball.
He's crawling across the beam.",happiness
That works.,neutral
♪ ♪,neutral
"Frannie now
working on the second ball.",neutral
"And she's good.
It's Frannie in the lead.",happiness
"She's won
two individual immunities.",happiness
Danny has his second ball.,neutral
"Can he navigate?
No. Big fall by Danny.",surprise
"He's got to go back.
Heidi has her first ball.",neutral
"[exclaims] - PROBST: Heidi
with her second, but she drops.",surprise
Got to go back.,neutral
Danny better this time.,neutral
"You're good, Danny.
Start working on the knot.",neutral
It's now Frannie in the lead.,surprise
"Start working it, Frannie.
There you go.",neutral
"Trying to land
that ball on a narrow trough.",neutral
"Carson's across.
You're good, Carson.",neutral
Here comes Jaime.,neutral
Carolyn's good. Heidi's good.,neutral
"It's now Lauren and Yam Yam
still working the beam.",neutral
Everybody else has their balls.,neutral
Lauren's across. You're good.,neutral
"It's Yam Yam,
last to get across the beam.",happiness
Frannie has her first ball.,happiness
Rain is coming down heavier now.,sadness
"You're looking to land
both balls in that trough.",neutral
"It is Frannie with one.
Nobody else with anything.",neutral
"Danny trying to get his first.
No.",disgust
"- Frannie does it.
- FRANNIE: Yes!",happiness
"Frannie wins
her third individual challenge",happiness
"- of Survivor44.
- [cheering]",happiness
"And the biggest reward
of the season.",happiness
"Wow, what a challenge.
That was a sprint.",surprise
"Frannie, come on over.
Right here.",neutral
[whoops],surprise
"All right, so here's
what's gonna happen, Frannie.",neutral
"You're gonna spend
the night at the sanctuary.",surprise
Oh.,neutral
"PROBST: Blankets,
pillows, a roof over your head.",neutral
[all exclaiming],surprise
"In addition,
you will fall asleep,",neutral
"drifting off
with memories of home,",sadness
"- because you'll also be reading your letters from home.
- Oh...",surprise
"PROBST: The reason you're out
here, the people who are back home",neutral
waiting for you to get back home,neutral
"have written
you letters to encourage you.",happiness
"So you've got food,
shelter and love.",happiness
Biggest reward of the season.,happiness
"Choose one person to join
you tonight at the sanctuary.",neutral
"FRANNIE: Jeff, um, as soon
as you say that family's involved,",neutral
"this becomes
a whole different question.",neutral
So... [sighs],sadness
Carolyn.,Neutral
"PROBST: Carolyn, come
on over. Why Carolyn?",surprise
"I know she's missing
her son so much, and...",sadness
[sobbing],sadness
"PROBST: Frannie, choose
one more person to join you.",neutral
I'm gonna go with Lauren.,neutral
"[crying] - 'Cause I know she
hasn't been eating as much,",sadness
"and I know
she misses her son so much.",sadness
"- Thank you so much.
- Yeah.","- happiness
- neutral"
[sniffles],sadness
FRANNIE: I'm so sorry.,sadness
PROBST: Now it's really tricky.,surprise
One spot left.,neutral
"- FRANNIE: Oh, my God.
- Oh...",surprise
"Oh, my gosh.",surprise
[breathing sharply],surprise
Heidi.,Neutral
"PROBST: Heidi, come on over.",neutral
I'm sorry.,sadness
"- I'm sorry, Danny.
- That's okay.",neutral
PROBST: Three moms.,neutral
[laughs],happiness
[Heidi sniffles],sadness
"PROBST:
All right, Frannie, Carolyn,",neutral
"Lauren, Heidi, head out.
Boat's gonna pick you up.",neutral
Take you to the sanctuary.,neutral
You'll return to camp tomorrow.,happiness
Enjoy.,neutral
Have fun.,happiness
"- Bye, guys. Have fun.
- PROBST: All right.",neutral
"Danny, Carson, Jaime, Yam Yam,",neutral
"got nothing for you.
Head back to camp.",neutral
"FRANNIE: For me, winning
this challenge is bittersweet.",sadness
"This is probably
the biggest reward",happiness
"of this season of Survivor,
and I get to be there",happiness
"with these
other three amazing women,",happiness
"but I see their faces
when I win for a third time.",happiness
It's simpleSurvivor strategy.,neutral
"Take out the person who could,
in theory, win every challenge.",anger
"If you want this, you got
to apply to be on Survivor.",neutral
♪ ♪,neutral
"JAIME: Okay, so how many
scoops am I doing?",neutral
"Like 4,000.",neutral
CARSON: Four thou... [laughs],happiness
"I'm excited. Thank, y'all.",happiness
"JAIME: Thank you, guys.",happiness
"I'm happy you're excited.
I'm... mad. I wanted food.","happiness
anger"
"I'm the only person
that hasn't gotten a reward now.",sadness
"I would have loved tacos,",sadness
"but this is a lot more
than just food.",surprise
"Like, was there anyone
specifically you were looking",neutral
to get letters from?,neutral
"- What?
- [sniffles]",sadness
"YAM YAM: The fact
that I know that my letter",neutral
"is in Jeff's hand, and I'm not
gonna be able to read it...",sadness
"It's heartbreaking.
I was looking forward",sadness
"to reading a letter from Karim,",neutral
my husband.,neutral
"He always writes
really nice stuff.",happiness
"My mother...
She's, like, super energetic",happiness
"and she always
gives me strength.",happiness
"It would have been nice
to read some letters",sadness
"and have some peace of mind
that they're okay.",happiness
You know?,neutral
"DANNY: You're missing
your husband bad, huh?",sadness
"Hey, man, this is gonna
make it that much more sweeter.",happiness
"- DANNY: No, you're not stupid, man, you're...
- No.",sadness
"DANNY: You're feeling it,",neutral
"and you're talking to us
'cause we're close.",neutral
"- It's real.
- Yeah.",neutral
"The only good thing
about being here is that",neutral
"I get to sit down
with Jaime and Danny,",neutral
"which I really haven't talked
serious strategy,",neutral
"and lay out a plan
that may benefit us.",neutral
"How do you be a good player
and not look at Frannie",neutral
"as somebody
that needs to be taken out?",anger
"- She's three and 0. Um...
- CARSON: Yeah.",neutral
"She's three and 0,
no one's beating Frannie, and",pride
"she knows puzzles,
she's a beast at comps.",neutral
"- I agree. I agree. I agree.
- She can balance.",neutral
She has strength.,neutral
"CARSON: As of this morning,
Frannie wasn't even",neutral
"on the radar,
but she's won three",neutral
"out of the five
individual challenges.",neutral
"That's saying something, and so,",neutral
"being able
to use that against her",anger
"can be
a really effective strategy",neutral
to kind of bond us together,happiness
"because we didn't get
to eat the delicious food.",sadness
"We didn't get
to read our family letters",sadness
"from home, and so, now,",neutral
"tides have shifted. It could
be Frannie going home next.",surprise
"- [shrieking, giggling]
- HEIDI: What?",surprise
"[screaming, gasping, muttering]",fear
"FRANNIE: I walk into
the sanctuary, and I see",neutral
"everything you possibly need
to have a good time.",happiness
"Tacos and margaritas, you know?",happiness
What more could you want?,surprise
"- Do it.
- [screaming]",anger
Yeah.,neutral
"- [screaming]
- Yeah.",neutral
Salud!,happiness
"- That tastes...
- [giggling]",happiness
"- HEIDI: What?
- LAUREN: Like what? - So good.",surprise
"- CAROLYN: Ooh!
- [laughter]",surprise
"- Best reward ever.
- CAROLYN: Yes.","- Happiness
- Neutral"
"This, like,
couldn't be a better four.",happiness
"I'm so glad
that you did think about it,",happiness
"like, too, as, like, moms,",neutral
"- and, like, you know what I mean?
- Thank you so much.",happiness
"Like, that's so human and so...",surprise
"Ugh. Like, I just...
I appreciate it.",neutral
"Frannie, like, thank you.",happiness
"FRANNIE: As soon as I
knew I was gonna have",neutral
"to choose people,
I couldn't help but think",sadness
"about the moms out here
on this island,",neutral
and Carolyn is somebody who,neutral
"I want to build
a relationship with.",neutral
"I don't always feel
like I fit in.",sadness
"And she is
so unabashedly herself that",happiness
it's inspiring to me.,happiness
CAROLYN: I'm so nervous.,fear
"HEIDI:
I am, too. I'm not gonna lie.",neutral
"- Oh. All right.
- [crying, sniffling]",sadness
[sniffling],sadness
"You know, my daddy is not,
like, an emotional person.",neutral
"And, like...",neutral
"And, like...",neutral
[crying],sadness
Both of my boys...,neutral
"They were just letting me know,
like, they're doing so well.",happiness
"But for my dad... that was
probably the most memorable.",neutral
"Him saying like,
""When others doubted you,",neutral
"you always persevered.""
And it's so true, like...",neutral
"Being married and then
going through a divorce...",sadness
"Like, I'm single,
on my own, like,",neutral
"and many people in my family
have been, like, on welfare.",neutral
"And, like, my dad was like,
""You're gonna...",neutral
"""you're gonna have to
figure something out because...",neutral
"because you're gonna
be that way.""",anger
"And I was like, ""No, I'm not.""",neutral
"I went, and I got two jobs.",happiness
"I went back to school,
and I got my master's.",happiness
"And then,
even withSurvivor, like,",neutral
"I'm telling my family, I'm like,",neutral
"""I'm gonna apply for that
show and I'm gonna go.""",happiness
"And they're like,
""No, you're not.""",anger
"Then, I'm freaking here. Like,",neutral
"I have surpassed, like,
everybody's expectations,",happiness
"and I'm a living example
for other women to know,",neutral
"like, doesn't matter
your circumstance.",neutral
You can do it.,encouragement
"It's crazy to think
a letter can mean so much.",surprise
CAROLYN: Yeah.,neutral
And my son hates writing.,sadness
"Like, he doesn't like
writing at all.",neutral
"So it's, like, this is probably
the most he's ever...",neutral
"[laughter] - I've never seen
him draw anything like that.",surprise
I don't even know what that is.,surprise
[snorts],disgust
"CAROLYN: I feel like I had a
good relationship with Frannie,",neutral
"but going on this reward
with her, like,",neutral
took it to a whole new level.,surprise
"And I know that
Frannie's a threat, and, like...",fear
"But I'm like, ""I don't want
to ever vote her out now.""",surprise
"To see you, Frannie, winning...",happiness
"I'm literally living
through you, and I think",neutral
"we should keep up the whole,
like, women winning.",happiness
HEIDI: I agree.,neutral
"- After all, we got this.
- LAUREN: Yeah. - FRANNIE: Yes.",happiness
"- Yes. - LAUREN: Yeah.
- CAROLYN: Okay.",neutral
"We're not just talking,
we're real?",surprise
"- I'm manifesting it.
- CAROLYN: What do you mean?",neutral
"Tomorrow, we're gonna win it.",happiness
"Oh, I thought you were saying,
""Vote Danny out.""",surprise
[laughter],happiness
"- I'm down for it.
- CAROLYN: When are you ready",neutral
"- to let go of Danny?
- FRANNIE: Yeah, yeah.",neutral
"- Let's-let's ask that question.
- That's the true question.",neutral
"I have no ties to Danny.
We never said ""Oh, final two.""",neutral
"'Cause we both know we're gonna
kick each other out",anger
whenever it's time to.,neutral
"- It's time tomorrow.
- Well, is it time to?",neutral
It-it could be.,neutral
CARSON: I'm not...,neutral
"Heidi will vote out Frannie
next-next Tribal 100%.",anger
"That's the only thing...
Like, the letters.",neutral
"JAIME: With Carolyn, I know
that that's gonna be tough.",fear
"So you guys have
to come up with the story",neutral
that you're gonna tell her.,neutral
"Like, what name is
she gonna write down?",surprise
"DANNY: Well, if you want
a really believable plan?",surprise
"- What's that?
- We could just say we're trying to flush your idol.",disgust
"And that'll be really...
that'll be really cool.",happiness
"- Do you want me to tell you what happened to my idol?
- Yes.",neutral
JAIME: It's time to come clean.,neutral
The only reason that my name,neutral
"was ever brought up
or ever written down",neutral
"is because they thought
that I had the idol.",surprise
"- Okay, so...
- Do you have an idol?",neutral
I hadan idol.,neutral
We thought that somebody had.,surprise
"Knowledge Is Power,
so Lauren gave me",neutral
her extra vote to protect it.,neutral
I gave my idol to Kane.,neutral
"Kane was voted out.
The idol's gone.",sadness
Wow.,surprise
It's a good story.,happiness
"That's just what it is.
It's a story.",neutral
"Actually, um, I take that back.",neutral
"It's a horrible story.
It's absolute B.S.",disgust
"Isn't it such
an unbelievable story, though?",surprise
"They're gonna be like,
""Yeah, right.",disgust
"You gave your idol to Kane?""",surprise
"- Like, I legit don't have the idol.
- Yeah.",neutral
"JAIME: After coming clean,",neutral
"I really believe
the target is off my back.",neutral
"I do believe that Danny,",neutral
Yam Yam and Carson believed me.,surprise
"Yeah, that story's total B.S.",disgust
"CARSON: And now
we're doing an idol search",neutral
"- because there's one out there.
- DANNY: No, no, yeah.",neutral
"You know, good on her
for at least trying that.",happiness
CARSON: It was so good.,happiness
"It's honestly put her more
on my radar",neutral
"- because it's like, ""Wow, she's good.""
- Yeah.",surprise
"- All right.
- Hmm?","- Neutral
- Surprise"
"DANNY: My game plan
moving forward now is simple.",neutral
"If Frannie loses
an immunity challenge,",fear
we vote her out.,anger
"If she wins, we vote Jaime out
or flush the idol.",neutral
I can get Heidi on board.,neutral
"Does your gut say
it's too early for...",neutral
"- For Danny?
- Mm-hmm.",neutral
"No. Uh, he wouldn't expect it.",surprise
It has to be a blindside.,surprise
"Danny and I are close allies,
but I want to make sure",neutral
"they know that I'm here
to play the game.",neutral
"It's not just I'm saving Danny.
I'm actually playing this game",neutral
"for myself and for my family,
not for Danny.",neutral
Va Va.,neutral
Good morning.,neutral
Welcome home.,happiness
"I was up at the crack of dawn
just waiting",neutral
"for the women
to come home because",neutral
"I was so excited
to finally share",happiness
the truth about my idol.,neutral
I did have the idol.,neutral
"Because we were fearful
of Pow... Knowledge Is Power,",fear
I gave my idol,neutral
"to Kane to hold,
and then Kane was voted off,",sadness
"- and he walked away with it.
- Are you serious?","- neutral
- surprise"
JAIME: It feels good.,happiness
I'm finally free!,happiness
The truth shall set you free.,neutral
"Oh, my God, Jaime,
why didn't you, like, stop it?",anger
"Oh, but it's so public. I would
have been like, ""Stop!""",surprise
I would... I know.,neutral
JAIME: Lying and keeping secrets,anger
"is the name of the game,",neutral
"but it's a lot of weight
on your chest, so,",sadness
I love being honest. [Laughs],happiness
"Don't tell anyone
when I said that.",neutral
"- I appreciate you saying that.
- Yeah, totally.","- happiness
- neutral"
"I mean, I had heard
that you had one.",surprise
"I smell bull. Oh, no.",disgust
"Oh, man. How great is it?",happiness
FRANNIE: Are you kidding me?,surprise
"Really? You know, Jaime,
do you think we're that silly?",surprise
It's too much.,anger
"What, does she think
we're all idiots?",anger
"FRANNIE:
And the fact that she can lie",neutral
"right to your face
only exacerbates for me",sadness
"the idea that Jaime's
a dangerous player in this game.",surprise
♪ ♪,neutral
Come on in.,neutral
♪ ♪,neutral
"If you only knew
how good you looked.",surprise
"- [laughter]
- Warriors!",happiness
"[whooping, laughter]",happiness
"Weathered, dirty,",neutral
"- hair's grown out.
- Thank you, Jeff.",neutral
"Yeah, it's beautiful.",happiness
"All right, shall we get
to today's immunity challenge?",neutral
"- [all voicing assent]
- First things first, Frannie.",neutral
Got to take it back again.,sadness
Thank you.,happiness
"Once again,
immunity is back up for grabs.",surprise
"For today's challenge,
your feet will be tied together.",surprise
"- Oh.
- Your arms will be tied to your side.",fear
"- Oh, my God. - Ooh.
- Yeah.",surprise
"PROBST: On my go, you're
gonna slither through the sand",neutral
while using your mouth,neutral
"to drag a buoy
through the course.",neutral
"- YAM YAM: No.
- [laughter]",happiness
"YAM YAM: Oh, God.",surprise
"When you get to the end, you're
gonna maneuver the buoy",neutral
"through a final obstacle
and then race to finish",neutral
a star-shaped puzzle.,neutral
First person to finish,surprise
"this challenge
wins this necklace.",neutral
"- You can't be voted out tonight.
- Oh.",surprise
"Losers, Tribal Council
where somebody will be",surprise
the eleventh person voted out,sadness
"and become the fourth member
of our jury.",neutral
"- Big enough stakes?
- [all voice assent]",neutral
"All right, we're gonna draw
for spots. We'll get started.",neutral
"- Here it is.
- Here we go.",neutral
"All right,",neutral
for immunity. Survivors ready?,surprise
